,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-03-11,975473.7755858386,981848.1217015076,936285.0972186662,952271.3122684908,1014932.1239702111,,959731.6620036429
2022-03-14,978683.8728569109,986701.9811528015,925683.5970012285,951460.2539385423,1023615.1151697045,,959762.1596131083
2022-03-15,995979.953991379,1002961.8542835999,935700.0701648332,959219.2036833506,1046402.4991685754,,977215.2132090154
2022-03-16,1009617.4783968165,1012760.4505970764,955225.0202151872,969085.9398540813,1056963.946201504,,992327.8028725561
2022-03-17,1022656.6867692302,1023903.7687657166,968087.5188266374,974792.9954323588,1074819.7055436976,,1004495.0972816844
2022-03-18,1026693.1886329234,1024490.583188324,980857.4754382707,981075.2241749582,1078291.343681515,,1012482.170847153
2022-03-21,1023220.7220088694,1019436.2587025452,971707.604130623,975382.5963436442,1072437.0506059534,,1006599.204740694
2022-03-22,1029283.7329953234,1025454.7551625061,980195.0353384478,981067.501134904,1076573.4793855555,,1014012.513578833
2022-03-23,1019164.1853215487,1015660.8153660584,965326.2915161592,973155.2941404314,1062321.1847955592,,1000933.3634061004
2022-03-24,1032065.1467497981,1024707.3313496399,972081.5189910356,977523.1984324581,1074811.9550248988,,1011113.3061297692
2022-03-25,1037839.629677685,1032988.3432514954,972828.9605155413,978749.672719392,1077766.5728189356,,1015579.1575695408
2022-03-28,1035874.7977157519,1032016.1647694397,974986.18318705,980990.6592264682,1078323.8222581751,,1018336.5738940007
2022-03-29,1041479.3154697764,1039109.839627533,987239.0164008562,988150.7145291683,1083853.533374966,,1028191.9674303739
2022-03-30,1045400.2920696604,1045028.674985199,977711.7505965654,984901.8513662998,1088228.2940294154,,1026287.2324033914
2022-03-31,1029715.1227476428,1030851.935292511,961117.7594237749,978666.161649686,1069578.5803300745,,1010251.2934741717
2022-04-01,1032010.2465567248,1035719.7041447449,962694.4991889421,980887.4073689396,1071481.0477525599,,1014327.3900168579
2022-04-04,1031685.9266143267,1030492.571469574,971951.9932990496,983937.0816029063,1071051.3932573206,,1017345.7429775272
2022-04-05,1024434.5783781168,1021230.0612080384,955912.0963988726,975579.3066066639,1065994.7948419459,,1009168.4007440506
2022-04-06,1027038.6430630648,1027750.3568547058,941281.8067031328,970195.8109250156,1072829.2724840052,,1004953.9269882677
2022-04-07,1028077.8069921457,1028060.1771748352,943126.4597869341,971129.6532104695,1075869.866501034,,1007490.1218470535
2022-04-08,1034314.2279751094,1029953.2440541077,948749.9186301653,971813.0483148929,1084034.3406030543,,1011497.257377292
2022-04-11,1024187.8444933322,1022403.4141514588,936764.2900519792,966311.0024088986,1069535.5038186915,,999464.4710815522
2022-04-12,1022564.1387249606,1022753.3167240906,939125.3294883196,964550.2094672443,1066526.439735592,,996909.0445212752
2022-04-13,1033619.6926027529,1033198.1592304993,949245.0377402727,970293.340021951,1078256.6543390162,,1006937.1819799184
2022-04-14,1033621.1306719439,1031328.1239750672,940662.2178969805,966518.9000211537,1078072.7217790491,,1003634.7915818405
2022-04-18,1035258.4495662806,1026291.0874302674,940729.1760650103,965720.6450590489,1075579.0357515223,,1002482.9378392716
2022-04-19,1049183.0310222171,1042299.462308197,955531.2852836077,974865.3928981372,1095099.2431299097,,1017034.6218421602
2022-04-20,1057159.4020429042,1044325.7850163269,955364.7730803911,977960.9665490428,1105839.66361636,,1024305.6843674944
2022-04-21,1046816.3264115641,1034442.0575230408,934366.8117423479,969814.6252116711,1093667.82295245,,1013584.2952787653
2022-04-22,1013291.654663788,1014483.7766621399,904081.8485770647,956451.6541786778,1063731.7733728297,,984995.1761430401
2022-04-25,1018904.2364354022,1024100.9651387024,909040.2583709185,961490.3628309339,1074845.615013302,,991930.4235731044
2022-04-26,994102.6158320353,1004300.9538090515,888289.7464499895,948722.4184611677,1049825.7218095667,,968354.405891774
2022-04-27,988663.8589206813,986489.7940571595,892122.3561377947,946349.7381742529,1040691.1978113061,,970153.3096620296
2022-04-28,1005565.2449127772,999884.7996418762,916317.9905944292,962051.1963485731,1056159.4776842005,,988053.8132594957
2022-04-29,981252.921729912,978290.0156452942,884146.8005538408,945287.033931497,1026543.2406503564,,960693.5884693546
2022-05-02,981697.6436858294,975327.589261322,893816.4996123735,944663.2660568326,1021004.0564424401,,963149.1012195174
2022-05-03,987534.5499694063,983088.9994099427,899442.6522574846,946689.2510142149,1022397.2056238061,,965109.369207019
2022-05-04,1015155.1585713809,1003542.6575444031,928808.0053115312,960794.5939868598,1045754.6084863549,,992268.2870152786
2022-05-05,984241.0089397357,979343.1371128845,894949.4350371782,941808.9314797034,1015169.9518892175,,961298.3059943506
2022-05-06,982733.4402528917,978531.8874104309,892107.3517394487,939359.8347146811,1012285.8653756982,,958425.9546491443
2022-05-09,962258.3791478312,957479.962422638,869644.1602569048,926595.278193746,986689.9787294274,,939383.15626133
2022-05-10,960339.9676431811,955500.4170735169,868348.1319137041,925927.3562616475,983035.5636712915,,936908.1273170502
2022-05-11,950340.9007021143,949155.820424347,855052.3813682024,918482.6646793417,974211.346740902,,927392.7024682808
2022-05-12,943426.479237076,949240.4453785706,853513.3411956255,914954.2499081664,964344.5658761865,,924368.5458580491
