,date,account_value
134,2022-04-13,1024594.535400719
135,2022-04-14,1017472.8367770618
136,2022-04-18,1016972.9391864246
137,2022-04-19,1030445.6583903736
138,2022-04-20,1038020.8751147693
139,2022-04-21,1024134.538059563
140,2022-04-22,996880.0883410877
141,2022-04-25,1001874.7557872242
142,2022-04-26,978965.3815997547
143,2022-04-27,978160.029579491
144,2022-04-28,1004926.0767596668
145,2022-04-29,977067.9187091297
146,2022-05-02,977317.9693072742
147,2022-05-03,981316.4148982471
148,2022-05-04,1011762.4222682422
149,2022-05-05,980023.1554301685
150,2022-05-06,981391.2465632862
151,2022-05-09,958452.3181079334
152,2022-05-10,958731.3568042225
153,2022-05-11,948547.7805179065
154,2022-05-12,944361.3106959766
155,2022-05-13,959301.1438258594
156,2022-05-16,962370.6841891712
157,2022-05-17,976745.9149936145
158,2022-05-18,942490.5020640796
159,2022-05-19,937825.8315394825
160,2022-05-20,940905.2218745655
161,2022-05-23,958152.9090159839
162,2022-05-24,960438.4011958545
163,2022-05-25,967001.2757266468
164,2022-05-26,979219.6885226673
165,2022-05-27,994936.3695033496
166,2022-05-31,982380.0521930164
167,2022-06-01,983818.5962336963
168,2022-06-02,997612.2516864246
169,2022-06-03,985342.2495425647
170,2022-06-06,987610.4371188587
171,2022-06-07,999406.2608035511
172,2022-06-08,991354.8244822925
173,2022-06-09,974695.954315514
174,2022-06-10,950360.6794322437
175,2022-06-13,919983.8522189563
176,2022-06-14,912510.901291222
177,2022-06-15,918887.4035418933
178,2022-06-16,893206.3971064991
179,2022-06-17,892590.3343280262
180,2022-06-21,920298.0647662586
181,2022-06-22,920170.2344973987
182,2022-06-23,926026.4268802112
