,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-01-10,1022197.3791278308,1063154.0807440493,1086262.5630238154,1007139.9822191948,1083790.5497555926,,1050759.9708406439
2022-01-11,1031585.5315020984,1068816.7128012392,1086660.5608784754,1009400.0158587557,1086527.8097119525,,1056095.4593383793
2022-01-12,1036514.7301677173,1072624.632601044,1087956.6834152034,1012314.9368385148,1080737.7667012408,,1057211.239416021
2022-01-13,1027797.511043877,1068860.5839712832,1082450.8433636173,1009604.3501290994,1084639.5018468096,,1052063.629848238
2022-01-14,1022123.7066310352,1062311.1643202517,1068070.569220013,1008695.961229998,1084963.4348416522,,1046184.4190444371
2022-01-18,1006494.6948321766,1047584.3384726259,1053869.2296356624,1002231.9997154258,1065742.956264992,,1030355.8183407617
2022-01-19,999069.5425494617,1036303.8399374697,1044323.3000520365,1001024.926377047,1049516.5720715716,,1020456.1577518436
2022-01-20,991200.742016167,1025555.0548994753,1032968.3773168757,998900.5316319411,1039019.5314526751,,1011330.3171045842
2022-01-21,980290.7523158496,1011164.22520282,1022352.4459964755,994851.1857875464,1026540.8569684222,,998220.3279312357
2022-01-24,981340.084354729,1014896.9408552859,1024834.6982177584,995705.5473315873,1021269.9433560565,,1001108.155675275
2022-01-25,986630.5685733265,1016077.7232115481,1025232.0418307269,993523.1117062174,1020826.9875798419,,999163.022695456
2022-01-26,982776.3080867237,1011175.2040007326,1023023.4663617328,992144.4900468199,1018916.0486111834,,995386.3261919615
2022-01-27,981837.1719249195,1007837.7981703493,1024252.5019926608,992565.0965259459,1017125.790615578,,995173.4119109552
2022-01-28,995522.3333209461,1022766.2719328615,1052315.5663233988,1000260.835538027,1029341.8433232501,,1011623.9134942136
2022-01-31,1012099.74928698,1035918.6468107912,1067389.1551953775,1004655.3416429998,1035287.0611005023,,1023462.903413388
2022-02-01,1016443.6638301319,1045917.5243170473,1070248.5580374186,1004481.5450044652,1050590.3710408404,,1031426.9899747075
2022-02-02,1021537.5399211353,1054976.085939667,1076859.3320181926,1011588.447681799,1052512.7369160845,,1037955.1853560493
2022-02-03,1005979.9690516895,1035673.2832777712,1060840.3772889904,1006542.9474480001,1034372.5913129046,,1022859.8928441457
2022-02-04,1007385.9151423877,1037283.5864622805,1062906.9321373561,1003095.135358309,1032623.7232480242,,1022235.829820608
2022-02-07,1009138.688412041,1039375.1686728213,1060324.1842655872,1003051.6158267843,1033106.5798649981,,1022276.3415704949
2022-02-08,1020817.9425395435,1046034.0889227602,1072843.2503554958,1008853.2949934561,1053165.891510506,,1033103.3343218503
2022-02-09,1030477.4759448475,1056095.1669562075,1080577.4048978656,1013391.2408364355,1056133.8690533831,,1041996.6875954616
2022-02-10,1013104.6834643787,1041086.8229239199,1066378.315012154,1002229.5074815046,1039560.8331113055,,1026659.5763517894
2022-02-11,996727.4188846058,1026343.3754103396,1049019.0401899188,993709.4660735189,1029878.4994969561,,1011990.6813871495
2022-02-14,990975.9603198475,1020545.6784765932,1045642.1448385089,990539.5176470701,1023233.3746762469,,1006983.2697852672
2022-02-15,1004658.6512950367,1033429.4741308901,1065993.1098157733,995444.1785397246,1033332.4892201617,,1019296.4520128081
2022-02-16,1002846.8186381763,1032247.2687094423,1063973.2849294513,995384.826345484,1028734.4839329913,,1017706.7072209007
2022-02-17,980273.856949181,1018089.6101896975,1045413.2217084735,985749.4080695783,1008426.498024483,,999579.633696399
2022-02-18,973508.1820186084,1011942.0916006777,1038777.5154554218,982540.3664629117,1000095.4211201861,,992796.1915313601
2022-02-22,965887.7863276905,991232.2195991023,1027419.4824773639,975834.698892542,995588.8989873126,,978737.931538329
2022-02-23,953855.4086078113,975443.0681022151,1009127.8950254291,968878.2086803,983300.2360921099,,965195.9687622546
2022-02-24,958738.0378268665,984523.6484480402,1012011.0753080219,970748.7392759497,977937.1681180194,,967878.051439453
2022-02-25,989086.6233256763,1004564.44986253,1034568.8239461749,987377.2259235249,1001093.3316159442,,992201.0329585845
2022-02-28,988457.7075732654,1005457.3652754328,1029198.3771383136,986541.3682025548,993645.7257428362,,987360.7892235103
